Roadside Inspection Violations All Violations,,,,,,,,
,Violation Code,Type,Violation Description,# of Inspections,# of Violations,% of Total Violations,# of OOS Violations,%OOS Percent
666,173.24B1HMBPMC,HazMat,HM (Bulk Packages) - HM/DG leaking from a bulk package (including associated piping).,195,196,0.01%,192,0.04%
667,393.9ALHLIWR,Vehicle,Lighting - Headlamps - Both inoperative when required to be on. ,196,196,0.01%,171,0.03%
668,107.620B,HazMat,No copy of US DOT Hazardous Materials Registration Number,193,193,0.01%,0,0%
669,385.325COOSO,Other,OOS Order - Motor carrier operating a CMV while an existing out-of-service order is in effect: New Entrant - Failure of Safety Audit.,191,191,0.01%,186,0.04%
670,392.2SLFYEMV,Driver,State/Local Laws - Failure to yield to emergency vehicle. ,190,190,0.01%,0,0%
671,393.116BCL,Vehicle,Logs - Improper/insufficient/or damaged components of a securement system,177,188,0.01%,184,0.04%
672,390.21TE,Other,Leased CMV - Failing to have the required information on the rental agreement when the lease is not more than 30 days.,186,186,0.01%,0,0%
673,391.49J,Driver,No valid medical waiver in drivers possession,186,186,0.01%,101,0.02%
674,395.8E1HOSPVIDOOS,Driver,HOS (Passenger) - Driver produces a false record of duty status with an apparent attempt to conceal hours. Explain:,176,185,0.01%,159,0.03%
675,396.3A1LLEAK,Vehicle,A liquid fuel system with a dripping leak at any point.,182,184,0.01%,180,0.04%
676,383.21,Driver,Operating a CMV with more than 1 driver license,184,184,0.01%,5,0%
677,393.209DSTSM,Vehicle,Steering - Modified or has a condition that interferes with the free movement of steering.,181,184,0.01%,180,0.04%
678,396.3A1AASGMD,Vehicle,More than 25% of the slider-guide/hold-down brackets are missing or disengaged. ,182,182,0.01%,168,0.03%
679,390.19A1NOREG,Other,Motor Carrier failed to register with FMCSA prior to beginning interstate operations,181,181,0.01%,3,0%
680,393.104A,Vehicle,Inadequate/damaged securement device/system,165,180,0.01%,62,0.01%
681,392.9A1,Vehicle,Failing to secure cargo as specified in 49 CFR 393.100 through 393.142,171,179,0.01%,158,0.03%
682,393.116ECL,Vehicle,Logs - Improper securement of logs loaded lengthwise on flatbed and frame vehicles,173,179,0.01%,179,0.04%
683,393.86B2RIG,Vehicle,"Rear Impact Guards - All other CMV''s, manufactured after December 31, 1952 inadequate construction/attachment.",178,178,0.01%,0,0%
684,393.205AWRDC,Vehicle,Wheel/Rim - Disc wheel cracked more than 3 inches.,172,178,0.01%,172,0.03%
685,393.201AFRMS,Vehicle,Frame - Cracked/loose/sagging/broken frame member permitting shifting of body.,160,177,0.01%,159,0.03%
686,172.504AHMPS,HazMat,HM (Placarding) - Bulk package/freight container/unit load device/transport vehicle not placarded as required. ,176,177,0.01%,22,0%
687,393.9BLTSONR,Vehicle,Lighting - Turn signal - Any obscured not on the rearmost vehicle. ,163,177,0.01%,13,0%
688,392.2SLLRD,Driver,State/Local Laws - Reckless driving.,176,177,0.01%,0,0%
689,392.80A,Driver,Driving a commercial motor vehicle while Texting,176,176,0.01%,0,0%
690,177.823AHMPMCNP,HazMat,HM (Placarding) - Any placard(s) misrepresent(s) the HM/DG being transported. CVSA Inspection Bulletin 2017-03 - Display of GHS Labels on Bulk Packages.,173,176,0.01%,158,0.03%
691,391.41A1FPC,Driver,Operating a property-carrying vehicle without possessing a valid medical certificate. Previously Cited on [DATE],176,176,0.01%,160,0.03%
692,393.86A2RIG,Vehicle,"Rear Impact Guards - Trailers and semitrailers manufactured on or after January 26, 1998 inadequate width.   ",175,175,0.01%,0,0%
693,395.8F04,Driver,Driver failed to record total miles driven for each 24 hour period.,119,174,0.01%,0,0%
694,393.209ESPSRLF,Vehicle,Steering - Power steering reservoir low fluid.,174,174,0.01%,1,0%
695,397.3SLL,HazMat,State/Local Laws - Driving/parking a CMV containing hazardous materials in violation of local regulations/laws/ordinances in the jurisdiction being operated.,166,173,0.01%,4,0%
696,393.207CSLSS,Vehicle,Suspension - Leaf spring shifted.,148,173,0.01%,10,0%
697,393.110C,Vehicle,"Insufficient tiedowns for an article blocked with a headerboard, bulkhead, or other cargo",162,172,0.01%,161,0.03%
698,393.116FCL,Vehicle,Logs - Improper securement of logs transported on pole trailers.,170,172,0.01%,170,0.03%
699,395.8F05,Driver,Driver failed to record truck or tractor and trailer unit number for each 24 hour period.,115,171,0.01%,1,0%
700,392.2SAFCHATTCH,Vehicle,"Coupling - Semi-Trailer, safety devices not attached/not able to be secured.",166,167,0.01%,10,0%
701,393.11A1LPLMWR,Vehicle,Lighting - Projecting load - Any Lamp on projecting load missing when required to be on. ,167,167,0.01%,164,0.03%
702,393.207CSSLMS,Vehicle,Suspension - A spring leaf is missing or separated.,147,166,0.01%,164,0.03%
703,395.8F1,Driver,Driver’s record of duty status not current,165,165,0.01%,17,0%
704,393.83GELDC,Vehicle,Exhaust System - Any exhaust system leaking at a point forward of or directly below the driver/sleeper compartment and the vehicle has a condition that permits entry of exhaust fumes into the driver/sleeper compartment. ,164,165,0.01%,150,0.03%
705,396.3A1DLDSCBB,Vehicle,"Driveline/Driveshaft - Any broken or loose center bearing bracket, bracket bolts or mounting hardware.",160,163,0.01%,158,0.03%
706,395.8D09,Driver,The driver failed to include name of co-driver for each 24 hour period.,149,163,0.01%,0,0%
707,390.201BIMC,Other,Carrier - Motor carrier failing to file Unified Registration System online application with FMCSA. ,162,162,0.01%,0,0%
708,393.48ABMBCHE,Vehicle,Hydraulic/Electric Brake - Missing/broken component(s).,119,162,0.01%,8,0%
709,390.403A,Other,Failing to have in effect a written lease or interchange agreement.,161,161,0.01%,3,0%
710,392.5A3,Driver,"Driver having possession of alcohol while on duty, or operating, or in physical control of a CMV",160,160,0.01%,158,0.03%
711,177.823AHMTVMMCNID,HazMat,HM (Transport Vehicle Markings) - 50% or more of the required ID numbers are missing for each material.,155,158,0.01%,158,0.03%
712,172.332,HazMat,Required ID markings displayed  ,148,158,0.01%,11,0%
713,392.60A,Driver,Unauthorized passenger on board CMV,158,158,0.01%,0,0%
714,393.104CC,Vehicle,Cargo - Damaged vehicle structures/anchor points,137,157,0.01%,5,0%
715,393.93B,Vehicle,Failure to equip truck with seatbelts,157,157,0.01%,0,0%
716,392.16B,Driver,Operating a property-carrying commercial motor vehicle while all other occupants are not properly restrained.,154,157,0.01%,0,0%
717,393.116,Vehicle,No/improper securement of logs,149,156,0.01%,155,0.03%
718,397.67,HazMat,HM vehicle routing violation (non RAM),155,155,0.01%,0,0%
719,393.22BLPL,Vehicle,Lighting - Prohibited combination of lamps.,151,155,0.01%,1,0%
720,177.823AHMPMCNPL61,HazMat,HM (Placarding) - Any of the required placards for a hazard class are missing. 49 CFR 172.504(a)  CVSA Inspection Bulletin 2017-03 - Display of GHS Labels on Bulk Packages.,151,153,0.01%,0,0%
721,393.83DELNGPB,Vehicle,Exhaust System - Other than Gasoline - Exhaust system leaking or discharging under the chassis more than 15 inches (38.1 cm) forward of the rear-most part of the bus.,151,151,0.01%,130,0.03%
722,172.400A1HML,HazMat,HM (Labeling) - Non-bulk package not labeled as required. ,145,151,0.01%,0,0%
723,393.83A,Vehicle,"Exhaust System - Location of Exhaust - Exhaust system of any commercial motor vehicle located as to allow burning, charring, or damaging the electrical wiring, the fuel supply, or any combustible part of the commercial motor vehicle.",150,150,0.01%,132,0.03%
724,393.17B2LRLDM,Vehicle,Lighting - Tail lamp - Driveaway - missing.,149,150,0.01%,3,0%
725,393.47BBMBCADSA,Vehicle,Air Disc Brake - Mismatched brake chamber sizes on a steering axle.,148,149,0.01%,148,0.03%
726,393.70DCDTSDNS,Vehicle,"Coupling - Full Trailer, safety devices not attached/not able to be secured.",147,147,0.01%,142,0.03%
727,396.7,Vehicle,Unsafe operations forbidden,135,147,0.01%,73,0.01%
728,393.43ATSV,Vehicle,Air Brake - Inoperable or missing trailer supply valve,141,146,0.01%,128,0.03%
729,392.7BD,Vehicle,Driver - Failed to conduct pre-trip inspection of intermodal equipment.,145,146,0.01%,0,0%
730,393.47D1BLTBDSA,Vehicle,Drum Brake - Inadequate lining/pad thickness on a steering axle.,118,146,0.01%,135,0.03%
731,392.2DIB,Driver,Driver - Improper backing.,145,145,0.01%,0,0%
732,383.91A,Driver,Operating a CMV with improper CDL group,143,144,0.01%,138,0.03%
733,396.3A1STLT,Vehicle,Steering - Looseness in the threaded joint of a tie rod or drag link.,140,143,0.01%,130,0.03%
734,393.209BSTWL,Vehicle,Steering - Steering wheel lash (free play) exceeds regulatory limit.,142,143,0.01%,0,0%
735,393.95A1I,Vehicle,Emergency Equipment (HM) - No 10 B:C (or more) fire extinguisher for quantities of hazardous materials that requires placarding.   ,142,142,0.01%,0,0%
736,393.106D,Vehicle,Insufficient aggregate working load limit,139,142,0.01%,139,0.03%
737,392.2HOS,Driver,HOS (Local Law) - State/local hour of service violation. ,135,141,0.01%,0,0%
738,383.25A2,Driver,Learner's Permit (CLP) - Operate a CMV without a valid state driver's license.,141,141,0.01%,139,0.03%
739,393.9BLRLOWR,Vehicle,Lighting - Tail lamp - Both lamps on rearmost vehicle obscured when required to be on.,139,141,0.01%,126,0.03%
740,393.209DSTGBL,Vehicle,Steering - Gear box mounting bolt loose.,141,141,0.01%,135,0.03%
741,393.75BOOS,Vehicle,Tire-front tread depth less than 2/32 of inch on a major tread groove,130,141,0.01%,108,0.02%
742,396.5AHNLOW,Vehicle,HUBS - No Visible Or Measurable Lubricant Showing In The HUB - Outer Wheel,112,140,0.01%,105,0.02%
743,393.24B,Vehicle,Noncompliant fog/driving lamps,139,139,0.01%,0,0%
744,107.608BHMAMC,HazMat,HM (Administrative) - Failing to register with PHMSA prior to transporting HM requiring HM registration.,138,138,0%,1,0%
745,393.75A1TRPES,Vehicle,Tires - Has damaged plies evident in the sidewall up to 2 square inches.,128,138,0%,108,0.02%
746,393.17A1LRLDWR,Vehicle,Lighting - Tail lamp - Both Lamps on rearmost vehicle driveaway missing when required to be on. ,137,137,0%,132,0.03%
747,393.47ABCLMADSA,Vehicle,Air Disc Brake - Cracked/loose/missing lining/pad on a steering axle.,119,136,0%,121,0.02%
748,393.48ABITSA,Vehicle,Brake - Inoperative on a trailer steering axle.,100,136,0%,108,0.02%
749,395.15I9,Driver,Driver not adequately trained in the operation of the automatic on-board recording device.,136,136,0%,0,0%
750,392.3I,Driver,Illness - Operating a CMV while impaired by illness or other cause. ,135,136,0%,133,0.03%
751,396.3A1CDHM,Vehicle,Coupling - Horizontal movement between upper and lower halves exceeds 1/2 inch.,135,135,0%,135,0.03%
752,393.42,Vehicle,No brakes as required - Explain: ,109,134,0%,75,0.02%
753,393.51BBFWS,Vehicle,"Hydraulic Brake failure warning system defective, or activated while engine is running",133,133,0%,133,0.03%
754,393.9BLFTSO,Vehicle,Lighting - Front - Turn signal - obscured.,127,133,0%,1,0%
755,172.516C1HMPMC,HazMat,HM (Placarding) - Failure to securely affix/attach placard(s). ,128,132,0%,2,0%
756,391.49JMDP,Driver,Medical (Driver Physical) - Operating a CMV without a valid skill performance evaluation certificate in possession when required.,132,132,0%,126,0.03%
757,393.126,Vehicle,Failure to ensure intermodal container securement,114,131,0%,104,0.02%
758,172.200AHMSPSNSP,HazMat,HM (Shipping Papers) - Shipper failed to provide HM shipping paper.,131,131,0%,21,0%
759,395.8D4HOSF,Driver,HOS (Form) - Record of duty status form failed to include name of carrier for each 24 hour period. Date: ,112,130,0%,0,0%
760,387.7B3IMC,Other,Carrier - Mexican domiciled motor carrier permit/require a driver to operate a CMV in the commercial zone without certificate of registration in the vehicle.,129,129,0%,0,0%
761,393.209CSTSCL,Vehicle,Steering - Steering column has looseness in the u-bolt or positioning part.,128,129,0%,122,0.02%
762,393.102BC,Vehicle,Cargo - Insufficient means to prevent vertical movement.,124,128,0%,16,0%
763,395.8H05,Driver,Driver failed to appropriately indicate location and remarks for changes in duty status.,98,128,0%,0,0%
764,395.24C2IELDUN,Driver,HOS (ELD) - Driver failing to manually input or verify CMV power unit number. ,71,127,0%,0,0%
765,172.200A,HazMat,No shipping paper provided by offeror,123,127,0%,31,0.01%
766,393.209DSTYCIS,Vehicle,Steering - Looseness of the yoke-coupling to the input shaft.,127,127,0%,125,0.03%
767,393.201AVUCS,Vehicle,Van/OT Trailers - Upper rail flange broken with complete separation.,126,127,0%,124,0.03%
768,395.8F11,Driver,Driver failed to record total hours for each 24 hour period.,89,126,0%,1,0%
769,390.21TG3IEP,Other,Intermodal Equipment Provider - Failing to mark/identify equipment with USDOT as required. ,126,126,0%,0,0%
770,393.9BLRR,Vehicle,Lighting - Reflex reflector(s) obscured.,120,126,0%,0,0%
771,393.205AWRLR,Vehicle,Wheel/Rim - Lock or side ring damaged/improperly seated.,90,126,0%,123,0.03%
772,393.106B,Vehicle,Cargo not immobilized or secured,119,125,0%,78,0.02%
773,392.9B3DFRCLS,Vehicle,Driver - Failing to reexamine the CMV's cargo and its load securement devices during the course of transporation and make any necessary adjustments. ,124,125,0%,5,0%
774,172.506AHMPMC,HazMat,HM (Placarding) - Failure to provide/affix placards when required. ,125,125,0%,10,0%
775,395.8F7HOSM,Driver,HOS (Manner) - Driver's record of duty status failed to record driver signature for each 24 hour period. Date: ,116,125,0%,0,0%
776,393.62BEMEI,Vehicle,"Buses - Marked emergency exit is inoperative (does not open, close and/or secure as designed). ",111,124,0%,119,0.02%
777,172.202A2,HazMat,No or improper Shipping Name,123,124,0%,2,0%
778,393.128B1,Vehicle,"Vehicle not secured, front and rear",116,124,0%,123,0.03%
779,391.11B1,Driver,Age - Operate a CMV while not at least 21 years of age in interstate commerce.,123,123,0%,118,0.02%
780,396.3A1DSYE,Vehicle,Drive Shaft Yoke Ends Cracked / Loose / Broken / Missing,119,123,0%,116,0.02%
781,393.93BSBA,Vehicle,Seatbelts - Trucks and truck-tractors not equipped/defective.,121,122,0%,0,0%
782,396.3A1SSF,Vehicle,Sliding subframe rail defective,120,122,0%,32,0.01%
783,395.8K2HOSPVI,Driver,HOS (Passenger) - Failed to have in possession a record of duty status for the previous 7 consecutive days and available for inspection while on duty.,120,121,0%,114,0.02%
784,392.33,Vehicle,Operating CMV with lamps/reflectors obscured,101,121,0%,0,0%
785,177.834A,HazMat,Package not secure in vehicle,121,121,0%,116,0.02%
786,395.11GHOSDFPSD,Driver,"HOS (Manner) - Driver failed to provide supporting documents to an authorized Federal, State , or local offical.",119,120,0%,1,0%
787,393.25E,Vehicle,Lamp not steady burning,114,120,0%,4,0%
788,393.47ABDC,Vehicle,"Brake - Drum has any external crack, or has any crack that opens upon brake application.",117,119,0%,117,0.02%
789,387.7B3III,Other,Carrier - Mexican domiciled motor carrier permit/require a driver to operate a CMV in the commercial zone without insurance identification document in the vehicle,119,119,0%,0,0%
790,395.13D1OOSO,Driver,OOS Order (HOS) - Operating a CMV after violating any roadside out-of-service order regarding hours of service.,119,119,0%,100,0.02%
791,393.71H10CDDSDD,Vehicle,"Coupling - Driveaway, safety devices wire/chain damaged. ",111,118,0%,112,0.02%
792,392.15SSF,Driver,Drugs/Other Substances - Operating a CMV while recorded as prohibited from performing safety-sensitive sunction. ,118,118,0%,117,0.02%
793,396.3A1BMC,Vehicle,Hydraulic Master Cylinder Less Than 1/4 Full on Hydraulic Brakes,118,118,0%,118,0.02%
794,393.104F4R,Vehicle,No edge protection for tiedowns,117,118,0%,11,0%
795,393.55D3B,Vehicle,"Air Brake - ABS malfunction, trailers manufactured after March 1, 2001 unable to transmit ABS malfunction signal to towing vehicle.",117,117,0%,0,0%
796,393.104C,Vehicle,Damaged vehicle structures/anchor points,104,117,0%,26,0.01%
797,393.11A1L,Vehicle,Lighting - Lamps improper color.,111,117,0%,1,0%
798,393.61WD,Vehicle,Windows - Missing side window(s) in driver compartment.,111,117,0%,0,0%
799,393.55B,Vehicle,ABS malfunction indicators for hydr brake sys,116,116,0%,0,0%
800,172.200AHMSPS,HazMat,HM (Shipping Papers) - Shipper failed to offer properly prepared shipping document(s).,116,116,0%,8,0%
